asset_id,symbol,category,path_pattern,resolution_status,resolution_failure_reason,d_file_path,raw_header,timestamp_column,close_column,schema_status,schema_reason_code,raw_row_count,canonical_row_count,duplicate_identical_count,duplicate_conflict_count,source_sorted_ascending,canonical_first_timestamp,canonical_last_timestamp
RACE,RACE,Equities I CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Equities I CFD/RACE/D/RACE_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,1714,1714,0,0,true,2019-03-04,2026-02-20
T,T,Equities I CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Equities I CFD/T/D/T_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,1714,1714,0,0,true,2019-03-04,2026-02-20
TSLA,TSLA,Equities I CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Equities I CFD/TSLA/D/TSLA_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,1715,1715,0,0,true,2019-03-04,2026-02-20
V,V,Equities I CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Equities I CFD/V/D/V_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,1714,1714,0,0,true,2019-03-04,2026-02-20
WMT,WMT,Equities I CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Equities I CFD/WMT/D/WMT_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,1324,1324,0,0,true,2020-11-12,2026-02-20
ZM,ZM,Equities I CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Equities I CFD/ZM/D/ZM_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,1324,1324,0,0,true,2020-11-12,2026-02-20
AIRF,AIRF,Equities II CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Equities II CFD/AIRF/D/AIRF_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,1741,1741,0,0,true,2019-03-04,2026-02-20
ALVG,ALVG,Equities II CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Equities II CFD/ALVG/D/ALVG_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,1731,1731,0,0,true,2019-03-04,2026-02-20
BAYGn,BAYGn,Equities II CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Equities II CFD/BAYGn/D/BAYGn_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,1732,1732,0,0,true,2019-03-04,2026-02-20
DBKGn,DBKGn,Equities II CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Equities II CFD/DBKGn/D/DBKGn_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,1731,1731,0,0,true,2019-03-04,2026-02-20
IBE,IBE,Equities II CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Equities II CFD/IBE/D/IBE_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,1739,1739,0,0,true,2019-03-04,2026-02-20
LVMH,LVMH,Equities II CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Equities II CFD/LVMH/D/LVMH_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,1740,1740,0,0,true,2019-03-04,2026-02-20
VOWG_p,VOWG_p,Equities II CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Equities II CFD/VOWG_p/D/VOWG_p_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,1731,1731,0,0,true,2019-03-04,2026-02-20
EURCZK,EURCZK,Exotics,category_symbol_d,RESOLVED,,data/FTMO Data/Exotics/EURCZK/D/EURCZK_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,2844,2844,0,0,true,2015-01-02,2026-02-23
EURHUF,EURHUF,Exotics,category_symbol_d,RESOLVED,,data/FTMO Data/Exotics/EURHUF/D/EURHUF_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,2890,2890,0,0,true,2015-01-01,2026-02-23
EURNOK,EURNOK,Exotics,category_symbol_d,RESOLVED,,data/FTMO Data/Exotics/EURNOK/D/EURNOK_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,3389,3389,0,0,true,2013-04-01,2026-02-23
